File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
5,250000	1	0,543650
5,266667	1	0,552050
5,283333	1	0,555600
5,300000	1	0,553550
5,316667	1	0,541700
5,333333	1	0,539650
5,350000	1	0,542250
5,366667	1	0,549950
5,383333	1	0,564200
5,400000	1	0,574150
5,416667	1	0,556850
5,433333	1	0,560000
5,450000	1	0,578700
5,466667	1	0,598350
5,483333	1	0,592900
5,500000	1	0,599050
5,516667	1	0,602300
5,533333	1	0,614500
5,550000	1	0,621100
5,566667	1	0,617950
5,583333	1	0,618050
5,600000	1	0,623400
5,616667	1	0,627200
5,633333	1	0,633100
5,650000	1	0,648800
5,666667	1	0,654100
5,683333	1	0,676200
5,700000	1	0,670450
5,716667	1	0,675200
5,733333	1	0,689550
5,750000	1	0,701400
5,766667	1	0,721550
5,783333	1	0,721250
5,800000	1	0,733750
5,816667	1	0,751350
5,833333	1	0,754800
5,850000	1	0,764700
5,866667	1	0,760300
5,883333	1	0,770650
5,900000	1	0,766550
5,916667	1	0,802150
5,933333	1	0,812250
5,950000	1	0,818600
5,966667	1	0,845350
5,983333	1	0,900050
6,000000	1	0,980500
6,016667	1	1,101400
6,033333	1	1,246100
6,050000	1	1,428600
6,066667	1	1,646100
6,083333	1	1,843400
6,100000	1	2,003650
6,116667	1	2,113100
6,133333	1	2,201350
6,150000	1	2,249700
6,166667	1	2,251050
6,183333	1	2,243900
6,200000	1	2,229950
6,216667	1	2,234250
6,233333	1	2,219600
6,250000	1	2,207200
6,266667	1	2,189800
6,283333	1	2,184000
6,300000	1	2,193700
6,316667	1	2,174050
6,333333	1	2,170250
6,350000	1	2,188450
6,366667	1	2,207550
6,383333	1	2,226050
6,400000	1	2,239700
6,416667	1	2,271050
6,433333	1	2,298600
6,450000	1	2,342550
6,466667	1	2,361500
6,483333	1	2,398200
6,500000	1	2,425650
6,516667	1	2,460650
6,533333	1	2,481300
6,550000	1	2,512000
6,566667	1	2,543850
6,583333	1	2,569050
6,600000	1	2,621050
6,616667	1	2,640100
6,633333	1	2,679700
6,650000	1	2,719800
6,666667	1	2,738000
6,683333	1	2,794100
6,700000	1	2,838400
6,716667	1	2,870400
6,733333	1	2,913400
6,750000	1	2,967650
6,766667	1	3,008600
6,783333	1	3,045900
6,800000	1	3,071300
6,816667	1	3,124200
6,833333	1	3,183850
6,850000	1	3,220400
6,866667	1	3,270000
6,883333	1	3,314900
6,900000	1	3,367050
6,916667	1	3,406450
6,933333	1	3,449200
6,950000	1	3,500750
6,966667	1	3,560850
6,983333	1	3,615100
7,000000	1	3,664850
7,016667	1	3,695150
7,033333	1	3,756600
7,050000	1	3,805850
7,066667	1	3,865050
7,083333	1	3,905500
7,100000	1	3,952900
7,116667	1	3,989600
7,133333	1	4,050550
7,150000	1	4,113850
7,166667	1	4,157450
7,183333	1	4,202150
7,200000	1	4,262350
7,216667	1	4,346550
7,233333	1	4,403450
7,250000	1	4,456750
7,266667	1	4,534300
7,283333	1	4,616050
7,300000	1	4,706300
7,316667	1	4,773200
7,333333	1	4,848250
7,350000	1	4,943800
7,366667	1	5,040850
7,383333	1	5,122150
7,400000	1	5,196950
7,416667	1	5,273200
7,433333	1	5,383850
7,450000	1	5,462200
7,466667	1	5,547650
7,483333	1	5,615400
7,500000	1	5,691950
7,516667	1	5,792450
7,533333	1	5,879650
7,550000	1	5,943950
7,566667	1	6,029900
7,583333	1	6,120750
7,600000	1	6,235200
7,616667	1	6,315650
7,633333	1	6,417300
7,650000	1	6,519350
7,666667	1	6,625300
7,683333	1	6,733450
7,700000	1	6,842400
7,716667	1	6,943850
7,733333	1	7,064550
7,750000	1	7,192300
7,766667	1	7,316750
7,783333	1	7,435800
7,800000	1	7,557200
7,816667	1	7,718850
7,833333	1	7,861000
7,850000	1	8,003200
7,866667	1	8,135600
7,883333	1	8,296950
7,900000	1	8,486500
7,916667	1	8,655600
7,933333	1	8,829100
7,950000	1	9,048300
7,966667	1	9,258100
7,983333	1	9,489500
8,000000	1	9,743200
8,016667	1	9,991600
8,033333	1	10,291450
8,050000	1	10,618850
8,066667	1	10,949100
8,083333	1	11,310650
8,100000	1	11,720550
8,116667	1	12,184700
8,133333	1	12,721900
8,150000	1	13,341600
8,166667	1	14,092350
8,183333	1	15,044200
8,200000	1	16,418400
8,216667	1	19,999900
8,233333	1	45,964251
8,250000	1	29,190500
8,266667	1	17,258950
8,283333	1	13,263850
8,300000	1	11,614700
8,316667	1	10,769950
8,333333	1	10,246700
8,350000	1	9,872450
8,366667	1	9,546950
8,383333	1	9,275500
8,400000	1	9,011150
8,416667	1	8,816700
8,433333	1	8,641900
8,450000	1	8,469600
8,466667	1	8,309150
8,483333	1	8,191800
8,500000	1	8,065950
8,516667	1	7,947550
