File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
33,550000	1	12,640000
33,566667	1	12,638300
33,583333	1	12,658850
33,600000	1	12,663550
33,616667	1	12,679050
33,633333	1	12,666450
33,650000	1	12,706250
33,666667	1	12,732500
33,683333	1	12,739650
33,700000	1	12,740400
33,716667	1	12,756450
33,733333	1	12,766300
33,750000	1	12,795300
33,766667	1	12,799850
33,783333	1	12,810900
33,800000	1	12,836850
33,816667	1	12,842600
33,833333	1	12,829650
33,850000	1	12,831650
33,866667	1	12,850650
33,883333	1	12,835900
33,900000	1	12,859350
33,916667	1	12,850750
33,933333	1	12,829500
33,950000	1	12,846400
33,966667	1	12,838200
33,983333	1	12,860750
34,000000	1	12,843350
34,016667	1	12,825950
34,033333	1	12,812100
34,050000	1	12,814750
34,066667	1	12,807650
34,083333	1	12,797350
34,100000	1	12,804400
34,116667	1	12,807350
34,133333	1	12,828650
34,150000	1	12,814650
34,166667	1	12,802350
34,183333	1	12,796550
34,200000	1	12,803300
34,216667	1	12,818300
34,233333	1	12,792550
34,250000	1	12,805500
34,266667	1	12,804350
34,283333	1	12,822850
34,300000	1	12,811000
34,316667	1	12,822550
34,333333	1	12,816550
34,350000	1	12,846750
34,366667	1	12,834300
34,383333	1	12,824050
34,400000	1	12,842500
34,416667	1	12,822150
34,433333	1	12,846950
34,450000	1	12,850800
34,466667	1	12,852150
34,483333	1	12,856450
34,500000	1	12,856450
34,516667	1	12,868700
34,533333	1	12,875250
34,550000	1	12,875400
34,566667	1	12,877250
34,583333	1	12,890100
34,600000	1	12,895100
34,616667	1	12,880150
34,633333	1	12,874700
34,650000	1	12,894350
34,666667	1	12,908100
34,683333	1	12,904150
34,700000	1	12,904650
34,716667	1	12,903700
34,733333	1	12,903500
34,750000	1	12,909850
34,766667	1	12,912100
34,783333	1	12,916550
34,800000	1	12,918850
34,816667	1	12,931100
34,833333	1	12,934350
34,850000	1	12,926700
34,866667	1	12,931900
34,883333	1	12,949900
34,900000	1	12,948400
34,916667	1	12,953550
34,933333	1	12,961950
34,950000	1	12,968000
34,966667	1	12,982350
34,983333	1	12,980750
35,000000	1	12,973200
35,016667	1	12,981200
35,033333	1	13,003250
35,050000	1	12,991600
35,066667	1	12,991400
35,083333	1	13,005600
35,100000	1	12,998650
35,116667	1	13,019250
35,133333	1	13,015450
35,150000	1	13,003900
35,166667	1	13,010200
35,183333	1	13,029900
35,200000	1	13,035250
35,216667	1	13,032300
35,233333	1	13,032700
35,250000	1	13,036850
35,266667	1	13,035000
35,283333	1	13,041300
35,300000	1	13,043550
35,316667	1	13,050850
35,333333	1	13,054250
35,350000	1	13,064500
35,366667	1	13,069300
35,383333	1	13,067350
35,400000	1	13,060600
35,416667	1	13,093200
35,433333	1	13,085950
35,450000	1	13,081850
35,466667	1	13,094850
35,483333	1	13,100000
35,500000	1	13,099800
35,516667	1	13,103200
35,533333	1	13,106600
35,550000	1	13,128400
35,566667	1	13,143150
35,583333	1	13,150600
35,600000	1	13,141900
35,616667	1	13,129900
35,633333	1	13,140700
35,650000	1	13,158450
35,666667	1	13,155400
35,683333	1	13,129050
35,700000	1	13,149250
35,716667	1	13,168500
35,733333	1	13,176450
35,750000	1	13,160500
35,766667	1	13,160600
35,783333	1	13,161750
35,800000	1	13,169450
35,816667	1	13,171400
35,833333	1	13,178400
35,850000	1	13,180800
35,866667	1	13,195350
35,883333	1	13,188600
35,900000	1	13,194050
35,916667	1	13,197750
35,933333	1	13,195550
35,950000	1	13,218650
35,966667	1	13,233800
35,983333	1	13,195650
36,000000	1	13,214100
36,016667	1	13,233050
36,033333	1	13,236000
36,050000	1	13,247250
36,066667	1	13,250100
36,083333	1	13,248400
36,100000	1	13,253250
36,116667	1	13,248800
36,133333	1	13,239150
36,150000	1	13,258550
36,166667	1	13,272000
36,183333	1	13,287550
36,200000	1	13,286100
36,216667	1	13,272650
36,233333	1	13,282250
36,250000	1	13,296400
36,266667	1	13,297900
36,283333	1	13,306050
36,300000	1	13,295700
36,316667	1	13,299950
36,333333	1	13,324700
36,350000	1	13,326750
36,366667	1	13,327550
36,383333	1	13,324050
36,400000	1	13,346500
36,416667	1	13,359300
36,433333	1	13,348950
36,450000	1	13,351700
36,466667	1	13,366850
36,483333	1	13,373150
36,500000	1	13,383200
36,516667	1	13,366600
36,533333	1	13,366600
36,550000	1	13,383100
36,566667	1	13,386750
36,583333	1	13,395400
36,600000	1	13,394150
36,616667	1	13,397300
36,633333	1	13,418300
36,650000	1	13,425800
36,666667	1	13,411300
36,683333	1	13,410150
36,700000	1	13,426200
36,716667	1	13,437700
36,733333	1	13,434850
36,750000	1	13,430800
36,766667	1	13,437350
36,783333	1	13,458250
36,800000	1	13,470200
36,816667	1	13,471250
36,833333	1	13,469650
36,850000	1	13,469750
36,866667	1	13,496550
36,883333	1	13,498700
36,900000	1	13,494500
36,916667	1	13,490650
36,933333	1	13,510450
36,950000	1	13,523850
36,966667	1	13,521200
36,983333	1	13,518450
37,000000	1	13,521800
37,016667	1	13,549300
37,033333	1	13,542450
37,050000	1	13,537900
37,066667	1	13,544500
37,083333	1	13,571050
37,100000	1	13,568350
37,116667	1	13,575050
37,133333	1	13,565750
37,150000	1	13,577150
37,166667	1	13,611700
37,183333	1	13,614250
37,200000	1	13,617600
37,216667	1	13,634300
37,233333	1	13,666200
37,250000	1	13,661300
37,266667	1	13,662500
37,283333	1	13,656500
37,300000	1	13,653350
37,316667	1	13,683900
37,333333	1	13,685400
37,350000	1	13,660900
37,366667	1	13,673650
37,383333	1	13,671200
37,400000	1	13,698650
37,416667	1	13,676850
37,433333	1	13,682850
37,450000	1	13,681450
37,466667	1	13,709850
37,483333	1	13,714400
37,500000	1	13,708950
37,516667	1	13,691900
37,533333	1	13,720900
37,550000	1	13,728150
37,566667	1	13,724400
37,583333	1	13,718200
37,600000	1	13,710900
37,616667	1	13,737000
37,633333	1	13,746450
37,650000	1	13,744500
37,666667	1	13,753250
37,683333	1	13,759100
37,700000	1	13,779700
37,716667	1	13,788050
37,733333	1	13,769400
37,750000	1	13,777700
37,766667	1	13,807000
37,783333	1	13,794900
37,800000	1	13,806950
37,816667	1	13,814750
37,833333	1	13,824500
37,850000	1	13,836800
37,866667	1	13,830800
37,883333	1	13,820050
37,900000	1	13,808500
37,916667	1	13,822150
37,933333	1	13,826050
37,950000	1	13,814450
37,966667	1	13,793350
37,983333	1	13,808450
38,000000	1	13,808750
38,016667	1	13,795000
38,033333	1	13,780450
38,050000	1	13,770550
38,066667	1	13,796650
38,083333	1	13,791550
38,100000	1	13,784400
38,116667	1	13,778700
38,133333	1	13,780600
38,150000	1	13,797350
38,166667	1	13,792000
38,183333	1	13,781200
38,200000	1	13,785000
38,216667	1	13,801100
38,233333	1	13,816100
38,250000	1	13,800600
38,266667	1	13,813650
38,283333	1	13,806150
38,300000	1	13,823350
38,316667	1	13,824300
38,333333	1	13,816800
38,350000	1	13,829000
38,366667	1	13,843600
38,383333	1	13,845750
38,400000	1	13,838200
38,416667	1	13,839700
38,433333	1	13,861250
38,450000	1	13,881800
38,466667	1	13,859600
38,483333	1	13,872000
38,500000	1	13,876950
38,516667	1	13,888850
38,533333	1	13,895100
38,550000	1	13,896200
38,566667	1	13,895000
38,583333	1	13,882800
38,600000	1	13,917350
38,616667	1	13,911500
38,633333	1	13,914850
38,650000	1	13,917400
38,666667	1	13,933600
38,683333	1	13,949350
38,700000	1	13,944150
38,716667	1	13,933050
38,733333	1	13,947150
38,750000	1	13,974850
38,766667	1	13,977500
38,783333	1	13,975850
38,800000	1	13,976600
38,816667	1	13,982600
38,833333	1	13,998650
38,850000	1	13,992300
38,866667	1	13,986550
38,883333	1	13,975900
38,900000	1	14,014650
38,916667	1	14,008900
38,933333	1	13,990450
38,950000	1	14,002400
38,966667	1	14,016600
38,983333	1	14,028050
39,000000	1	14,027950
39,016667	1	14,018650
39,033333	1	14,029350
39,050000	1	14,036950
39,066667	1	14,047950
39,083333	1	14,047300
39,100000	1	14,050000
39,116667	1	14,038100
39,133333	1	14,067950
39,150000	1	14,066450
39,166667	1	14,069550
39,183333	1	14,066500
39,200000	1	14,080750
39,216667	1	14,085100
39,233333	1	14,093400
39,250000	1	14,083050
39,266667	1	14,084600
39,283333	1	14,111300
39,300000	1	14,117500
39,316667	1	14,112500
39,333333	1	14,116750
39,350000	1	14,117400
39,366667	1	14,122150
39,383333	1	14,129750
39,400000	1	14,124350
39,416667	1	14,123450
39,433333	1	14,141950
39,450000	1	14,144400
39,466667	1	14,148350
39,483333	1	14,138950
39,500000	1	14,149450
39,516667	1	14,158700
39,533333	1	14,162100
39,550000	1	14,173200
39,566667	1	14,169500
39,583333	1	14,178650
39,600000	1	14,183250
39,616667	1	14,178750
39,633333	1	14,184800
39,650000	1	14,186350
39,666667	1	14,203350
39,683333	1	14,199950
39,700000	1	14,203150
39,716667	1	14,205200
39,733333	1	14,224700
39,750000	1	14,238050
39,766667	1	14,219600
39,783333	1	14,224950
39,800000	1	14,226250
39,816667	1	14,234300
39,833333	1	14,267400
39,850000	1	14,252150
39,866667	1	14,249150
39,883333	1	14,262750
39,900000	1	14,269150
39,916667	1	14,264650
39,933333	1	14,272750
39,950000	1	14,271550
39,966667	1	14,279850
39,983333	1	14,291450
40,000000	1	14,298500
40,016667	1	14,297650
40,033333	1	14,308000
40,050000	1	14,315400
40,066667	1	14,324550
40,083333	1	14,318650
40,100000	1	14,327000
40,116667	1	14,329600
40,133333	1	14,345850
40,150000	1	14,342700
40,166667	1	14,353550
40,183333	1	14,340650
40,200000	1	14,372800
40,216667	1	14,375750
40,233333	1	14,366400
40,250000	1	14,371650
40,266667	1	14,395500
40,283333	1	14,391150
40,300000	1	14,400050
40,316667	1	14,392450
40,333333	1	14,408150
40,350000	1	14,420250
40,366667	1	14,412600
40,383333	1	14,419200
40,400000	1	14,419050
40,416667	1	14,440600
40,433333	1	14,466250
40,450000	1	14,459800
40,466667	1	14,467250
40,483333	1	14,479450
40,500000	1	14,508250
40,516667	1	14,509350
40,533333	1	14,520750
40,550000	1	14,534650
40,566667	1	14,559350
40,583333	1	14,557550
40,600000	1	14,563650
40,616667	1	14,582700
40,633333	1	14,590650
40,650000	1	14,607400
40,666667	1	14,607850
40,683333	1	14,601150
40,700000	1	14,621650
40,716667	1	14,635950
40,733333	1	14,649200
40,750000	1	14,640450
40,766667	1	14,666950
40,783333	1	14,642650
40,800000	1	14,676400
40,816667	1	14,667500
40,833333	1	14,669550
40,850000	1	14,669450
40,866667	1	14,671650
40,883333	1	14,676250
40,900000	1	14,667450
40,916667	1	14,683350
40,933333	1	14,683150
40,950000	1	14,693650
40,966667	1	14,695400
40,983333	1	14,701650
41,000000	1	14,710150
41,016667	1	14,706500
41,033333	1	14,708400
41,050000	1	14,714050
41,066667	1	14,722350
41,083333	1	14,723400
41,100000	1	14,738950
41,116667	1	14,725250
41,133333	1	14,743600
41,150000	1	14,747650
41,166667	1	14,760750
41,183333	1	14,768200
41,200000	1	14,783800
41,216667	1	14,777900
41,233333	1	14,783750
41,250000	1	14,810250
41,266667	1	14,807100
41,283333	1	14,810150
41,300000	1	14,816700
41,316667	1	14,822950
41,333333	1	14,844800
41,350000	1	14,850950
41,366667	1	14,849950
41,383333	1	14,860300
41,400000	1	14,867950
41,416667	1	14,883650
41,433333	1	14,873300
41,450000	1	14,879350
41,466667	1	14,885400
41,483333	1	14,909050
41,500000	1	14,907950
41,516667	1	14,915450
41,533333	1	14,920350
41,550000	1	14,928700
41,566667	1	14,933900
41,583333	1	14,940200
41,600000	1	14,942450
41,616667	1	14,947150
41,633333	1	14,969950
41,650000	1	14,973800
41,666667	1	14,956600
41,683333	1	14,979700
41,700000	1	14,982650
41,716667	1	14,981150
41,733333	1	15,001450
41,750000	1	14,994600
41,766667	1	15,007850
41,783333	1	15,022150
41,800000	1	15,029500
41,816667	1	15,018350
41,833333	1	15,028750
41,850000	1	15,041250
41,866667	1	15,058800
41,883333	1	15,043300
41,900000	1	15,019050
41,916667	1	14,977500
41,933333	1	14,910600
41,950000	1	14,791650
41,966667	1	14,650850
41,983333	1	14,456350
42,000000	1	14,247550
42,016667	1	14,016550
42,033333	1	13,738600
42,050000	1	13,433750
42,066667	1	13,097300
42,083333	1	12,746900
42,100000	1	12,367450
42,116667	1	11,944000
42,133333	1	11,530450
42,150000	1	11,091300
42,166667	1	10,641350
42,183333	1	10,178050
42,200000	1	9,733500
42,216667	1	9,325250
42,233333	1	8,921200
42,250000	1	8,582050
42,266667	1	8,242350
42,283333	1	7,968950
42,300000	1	7,715000
42,316667	1	7,500900
42,333333	1	7,323600
42,350000	1	7,161500
42,366667	1	7,035750
42,383333	1	6,909500
42,400000	1	6,818850
42,416667	1	6,744650
42,433333	1	6,660900
42,450000	1	6,573800
42,466667	1	6,510050
42,483333	1	6,442350
42,500000	1	6,353700
42,516667	1	6,298350
42,533333	1	6,229350
42,550000	1	6,162850
42,566667	1	6,094800
42,583333	1	6,024000
42,600000	1	5,981000
42,616667	1	5,918950
42,633333	1	5,867500
42,650000	1	5,809400
42,666667	1	5,748550
42,683333	1	5,696450
42,700000	1	5,647200
42,716667	1	5,594600
42,733333	1	5,553650
42,750000	1	5,495650
42,766667	1	5,453900
42,783333	1	5,407950
42,800000	1	5,370550
42,816667	1	5,316150
42,833333	1	5,272900
42,850000	1	5,233500
42,866667	1	5,186150
42,883333	1	5,154150
42,900000	1	5,110750
42,916667	1	5,072500
42,933333	1	5,039050
42,950000	1	4,998550
42,966667	1	4,963550
42,983333	1	4,928200
43,000000	1	4,893350
43,016667	1	4,861700
43,033333	1	4,834750
43,050000	1	4,794800
43,066667	1	4,766000
43,083333	1	4,745350
43,100000	1	4,708500
43,116667	1	4,675300
43,133333	1	4,655350
43,150000	1	4,626250
43,166667	1	4,603950
43,183333	1	4,578250
43,200000	1	4,555650
43,216667	1	4,534750
43,233333	1	4,518000
43,250000	1	4,495950
43,266667	1	4,477800
43,283333	1	4,467500
43,300000	1	4,441250
43,316667	1	4,427200
43,333333	1	4,406200
43,350000	1	4,385050
43,366667	1	4,374150
43,383333	1	4,363300
43,400000	1	4,342950
43,416667	1	4,326350
43,433333	1	4,322300
43,450000	1	4,299750
43,466667	1	4,282550
43,483333	1	4,268250
43,500000	1	4,253700
43,516667	1	4,233200
43,533333	1	4,216650
43,550000	1	4,202950
43,566667	1	4,191950
43,583333	1	4,166750
43,600000	1	4,159700
43,616667	1	4,140150
43,633333	1	4,126200
43,650000	1	4,106750
43,666667	1	4,086600
43,683333	1	4,077500
43,700000	1	4,059050
43,716667	1	4,044450
43,733333	1	4,018450
43,750000	1	3,997000
43,766667	1	3,985300
43,783333	1	3,955600
43,800000	1	3,936750
43,816667	1	3,924300
43,833333	1	3,898050
43,850000	1	3,878450
43,866667	1	3,859150
43,883333	1	3,826500
43,900000	1	3,808750
43,916667	1	3,790500
43,933333	1	3,764200
43,950000	1	3,736900
43,966667	1	3,716050
43,983333	1	3,699650
44,000000	1	3,676600
44,016667	1	3,646400
44,033333	1	3,623250
44,050000	1	3,592750
44,066667	1	3,575200
44,083333	1	3,540400
44,100000	1	3,517000
44,116667	1	3,493650
44,133333	1	3,467850
44,150000	1	3,432000
44,166667	1	3,414300
44,183333	1	3,383850
44,200000	1	3,354100
44,216667	1	3,333550
44,233333	1	3,309400
44,250000	1	3,280850
44,266667	1	3,256300
44,283333	1	3,234800
44,300000	1	3,203600
44,316667	1	3,174950
44,333333	1	3,138100
44,350000	1	3,117500
44,366667	1	3,093800
44,383333	1	3,059150
44,400000	1	3,035250
44,416667	1	3,005500
44,433333	1	2,984900
44,450000	1	2,954350
44,466667	1	2,926050
44,483333	1	2,901050
44,500000	1	2,870150
44,516667	1	2,831100
44,533333	1	2,807950
44,550000	1	2,782050
44,566667	1	2,756100
44,583333	1	2,732600
44,600000	1	2,714550
44,616667	1	2,680300
44,633333	1	2,659250
44,650000	1	2,629600
44,666667	1	2,597650
44,683333	1	2,567850
44,700000	1	2,548950
44,716667	1	2,519300
44,733333	1	2,481500
44,750000	1	2,464250
44,766667	1	2,438750
44,783333	1	2,412450
44,800000	1	2,384600
44,816667	1	2,357200
44,833333	1	2,333700
44,850000	1	2,308700
44,866667	1	2,287650
44,883333	1	2,271050
44,900000	1	2,248600
44,916667	1	2,225950
44,933333	1	2,193300
44,950000	1	2,172150
44,966667	1	2,153400
44,983333	1	2,131800
45,000000	1	2,110350
45,016667	1	2,081850
45,033333	1	2,058900
45,050000	1	2,035450
45,066667	1	2,029250
45,083333	1	1,996900
45,100000	1	1,972000
45,116667	1	1,960250
45,133333	1	1,932450
45,150000	1	1,907850
45,166667	1	1,889400
45,183333	1	1,877800
45,200000	1	1,849200
45,216667	1	1,832000
45,233333	1	1,820300
45,250000	1	1,796650
45,266667	1	1,771300
45,283333	1	1,749550
45,300000	1	1,729300
45,316667	1	1,714900
45,333333	1	1,693050
45,350000	1	1,666850
45,366667	1	1,664600
45,383333	1	1,640300
45,400000	1	1,609000
45,416667	1	1,594750
45,433333	1	1,592950
45,450000	1	1,564750
45,466667	1	1,550350
45,483333	1	1,526450
45,500000	1	1,513550
45,516667	1	1,499200
45,533333	1	1,478900
45,550000	1	1,461900
45,566667	1	1,446900
45,583333	1	1,428850
45,600000	1	1,421200
45,616667	1	1,409050
45,633333	1	1,379600
45,650000	1	1,366300
45,666667	1	1,360100
45,683333	1	1,347150
45,700000	1	1,327500
45,716667	1	1,308750
45,733333	1	1,297800
45,750000	1	1,289100
45,766667	1	1,274850
45,783333	1	1,263150
45,800000	1	1,248750
45,816667	1	1,236400
45,833333	1	1,223550
45,850000	1	1,210500
45,866667	1	1,204600
45,883333	1	1,193050
45,900000	1	1,167450
45,916667	1	1,154700
45,933333	1	1,140600
45,950000	1	1,138850
45,966667	1	1,116850
45,983333	1	1,109250
46,000000	1	1,123550
46,016667	1	1,092050
46,033333	1	1,075800
46,050000	1	1,064600
46,066667	1	1,051900
46,083333	1	1,043100
46,100000	1	1,038350
46,116667	1	1,018850
46,133333	1	1,016450
46,150000	1	1,007400
46,166667	1	1,007850
46,183333	1	0,989800
46,200000	1	0,989350
46,216667	1	0,978800
46,233333	1	0,966400
46,250000	1	0,944150
46,266667	1	0,933650
46,283333	1	0,942750
46,300000	1	0,924400
46,316667	1	0,911850
46,333333	1	0,902650
46,350000	1	0,895400
46,366667	1	0,884150
46,383333	1	0,890300
46,400000	1	0,866300
46,416667	1	0,866100
46,433333	1	0,865950
46,450000	1	0,851250
46,466667	1	0,840550
46,483333	1	0,837250
46,500000	1	0,833550
46,516667	1	0,811600
46,533333	1	0,815100
46,550000	1	0,791750
46,566667	1	0,792500
46,583333	1	0,794150
46,600000	1	0,785300
46,616667	1	0,767300
46,633333	1	0,763300
46,650000	1	0,761350
46,666667	1	0,760900
46,683333	1	0,743250
46,700000	1	0,731700
46,716667	1	0,731400
46,733333	1	0,723250
46,750000	1	0,728000
46,766667	1	0,712350
46,783333	1	0,710400
46,800000	1	0,706300
46,816667	1	0,711100
46,833333	1	0,691500
46,850000	1	0,681100
46,866667	1	0,688900
46,883333	1	0,689600
46,900000	1	0,668950
46,916667	1	0,668700
46,933333	1	0,663950
46,950000	1	0,649850
46,966667	1	0,648100
46,983333	1	0,638050
47,000000	1	0,640450
47,016667	1	0,630550
47,033333	1	0,624300
47,050000	1	0,629250
47,066667	1	0,619100
47,083333	1	0,617000
47,100000	1	0,602500
47,116667	1	0,597900
47,133333	1	0,607000
47,150000	1	0,598100
47,166667	1	0,581350
47,183333	1	0,590100
47,200000	1	0,587400
47,216667	1	0,586600
47,233333	1	0,567300
47,250000	1	0,568300
47,266667	1	0,579450
47,283333	1	0,562150
47,300000	1	0,562550
47,316667	1	0,552550
47,333333	1	0,538300
47,350000	1	0,539050
47,366667	1	0,535500
47,383333	1	0,543200
47,400000	1	0,522650
47,416667	1	0,538150
47,433333	1	0,534350
47,450000	1	0,513200
47,466667	1	0,519450
47,483333	1	0,524050
47,500000	1	0,506450
47,516667	1	0,506900
47,533333	1	0,496300
47,550000	1	0,494100
47,566667	1	0,508150
47,583333	1	0,502950
47,600000	1	0,488700
47,616667	1	0,492350
47,633333	1	0,502650
47,650000	1	0,494750
47,666667	1	0,503900
47,683333	1	0,504800
47,700000	1	0,484400
47,716667	1	0,490900
47,733333	1	0,494200
47,750000	1	0,483700
47,766667	1	0,485650
47,783333	1	0,485950
47,800000	1	0,476650
47,816667	1	0,469050
47,833333	1	0,464500
47,850000	1	0,457500
47,866667	1	0,455200
47,883333	1	0,462750
47,900000	1	0,464600
47,916667	1	0,449900
47,933333	1	0,450050
47,950000	1	0,451900
47,966667	1	0,465400
47,983333	1	0,464500
48,000000	1	0,442800
48,016667	1	0,447150
48,033333	1	0,447350
48,050000	1	0,441600
48,066667	1	0,430050
48,083333	1	0,440400
48,100000	1	0,430750
48,116667	1	0,445550
48,133333	1	0,433900
48,150000	1	0,449200
48,166667	1	0,433800
48,183333	1	0,449200
48,200000	1	0,451150
48,216667	1	0,443700
48,233333	1	0,426500
48,250000	1	0,432850
48,266667	1	0,441100
48,283333	1	0,435550
48,300000	1	0,423100
48,316667	1	0,419450
48,333333	1	0,417050
48,350000	1	0,427200
48,366667	1	0,420100
48,383333	1	0,428500
48,400000	1	0,420400
48,416667	1	0,430850
48,433333	1	0,417950
48,450000	1	0,409050
48,466667	1	0,407350
48,483333	1	0,429650
48,500000	1	0,429650
48,516667	1	0,405100
48,533333	1	0,421550
48,550000	1	0,407250
48,566667	1	0,403900
48,583333	1	0,419650
48,600000	1	0,407950
48,616667	1	0,398500
48,633333	1	0,411400
48,650000	1	0,399950
48,666667	1	0,416850
48,683333	1	0,396300
48,700000	1	0,405750
48,716667	1	0,419100
48,733333	1	0,400100
48,750000	1	0,411100
48,766667	1	0,410400
48,783333	1	0,396400
48,800000	1	0,416100
48,816667	1	0,393000
48,833333	1	0,397600
48,850000	1	0,387550
48,866667	1	0,410350
48,883333	1	0,399050
48,900000	1	0,398400
48,916667	1	0,405500
48,933333	1	0,394500
48,950000	1	0,413200
48,966667	1	0,406250
48,983333	1	0,405000
49,000000	1	0,408150
49,016667	1	0,415050
49,033333	1	0,409300
49,050000	1	0,401400
49,066667	1	0,408000
49,083333	1	0,390100
49,100000	1	0,412700
49,116667	1	0,420600
49,133333	1	0,390050
49,150000	1	0,401450
49,166667	1	0,406200
49,183333	1	0,412450
49,200000	1	0,406200
49,216667	1	0,405350
49,233333	1	0,393800
49,250000	1	0,411350
49,266667	1	0,414300
49,283333	1	0,409450
49,300000	1	0,395250
49,316667	1	0,401050
49,333333	1	0,402700
49,350000	1	0,414200
49,366667	1	0,399450
49,383333	1	0,410650
49,400000	1	0,409250
49,416667	1	0,408850
49,433333	1	0,396100
49,450000	1	0,395150
49,466667	1	0,396750
49,483333	1	0,403150
49,500000	1	0,404850
49,516667	1	0,415100
49,533333	1	0,403650
49,550000	1	0,425150
49,566667	1	0,403600
49,583333	1	0,412050
49,600000	1	0,407950
49,616667	1	0,413700
49,633333	1	0,406150
49,650000	1	0,412600
49,666667	1	0,405450
49,683333	1	0,417100
49,700000	1	0,418450
49,716667	1	0,415800
49,733333	1	0,412500
49,750000	1	0,430200
49,766667	1	0,424200
49,783333	1	0,434150
49,800000	1	0,426700
49,816667	1	0,434950
49,833333	1	0,428850
49,850000	1	0,440200
49,866667	1	0,420650
49,883333	1	0,421600
49,900000	1	0,408900
49,916667	1	0,418250
49,933333	1	0,426250
49,950000	1	0,424300
49,966667	1	0,439050
49,983333	1	0,433200
50,000000	1	0,420300
50,016667	1	0,447750
50,033333	1	0,433200
50,050000	1	0,432500
50,066667	1	0,424650
50,083333	1	0,437000
50,100000	1	0,433100
50,116667	1	0,441850
50,133333	1	0,410150
50,150000	1	0,429700
50,166667	1	0,436550
50,183333	1	0,431550
50,200000	1	0,422000
50,216667	1	0,430350
50,233333	1	0,437950
50,250000	1	0,423900
50,266667	1	0,432700
50,283333	1	0,427500
50,300000	1	0,431250
50,316667	1	0,429000
50,333333	1	0,446550
50,350000	1	0,439100
50,366667	1	0,447600
50,383333	1	0,417400
50,400000	1	0,452950
50,416667	1	0,430550
50,433333	1	0,439900
50,450000	1	0,453550
50,466667	1	0,450450
50,483333	1	0,457200
50,500000	1	0,462550
50,516667	1	0,445450
50,533333	1	0,444150
50,550000	1	0,460750
50,566667	1	0,448950
50,583333	1	0,441150
50,600000	1	0,447750
50,616667	1	0,452250
50,633333	1	0,460650
50,650000	1	0,443150
50,666667	1	0,462750
50,683333	1	0,451400
50,700000	1	0,448250
50,716667	1	0,456400
50,733333	1	0,444250
50,750000	1	0,462950
50,766667	1	0,450350
50,783333	1	0,462600
50,800000	1	0,457200
50,816667	1	0,454100
50,833333	1	0,450250
50,850000	1	0,463900
50,866667	1	0,462650
50,883333	1	0,449050
50,900000	1	0,460000
50,916667	1	0,457000
50,933333	1	0,465800
50,950000	1	0,453750
50,966667	1	0,462700
50,983333	1	0,465300
51,000000	1	0,471450
51,016667	1	0,478800
51,033333	1	0,470100
51,050000	1	0,479800
51,066667	1	0,458200
51,083333	1	0,467450
51,100000	1	0,471100
51,116667	1	0,463200
51,133333	1	0,473850
51,150000	1	0,489700
51,166667	1	0,476900
51,183333	1	0,486400
51,200000	1	0,491300
51,216667	1	0,491300
51,233333	1	0,484400
51,250000	1	0,480850
51,266667	1	0,490500
51,283333	1	0,489800
51,300000	1	0,491500
51,316667	1	0,503550
51,333333	1	0,501750
51,350000	1	0,492900
51,366667	1	0,488300
51,383333	1	0,489200
51,400000	1	0,482000
51,416667	1	0,494800
51,433333	1	0,485900
51,450000	1	0,483500
51,466667	1	0,503500
51,483333	1	0,488700
51,500000	1	0,493400
51,516667	1	0,497850
51,533333	1	0,490600
51,550000	1	0,497100
51,566667	1	0,489750
51,583333	1	0,503300
51,600000	1	0,495350
51,616667	1	0,503850
51,633333	1	0,502300
51,650000	1	0,497600
51,666667	1	0,495100
51,683333	1	0,516400
51,700000	1	0,496300
51,716667	1	0,503150
51,733333	1	0,499550
51,750000	1	0,506500
51,766667	1	0,510550
51,783333	1	0,509200
51,800000	1	0,510450
51,816667	1	0,512050
51,833333	1	0,515950
51,850000	1	0,525450
51,866667	1	0,508700
51,883333	1	0,514900
51,900000	1	0,527100
51,916667	1	0,528800
51,933333	1	0,526300
51,950000	1	0,524750
51,966667	1	0,529500
51,983333	1	0,527050
52,000000	1	0,534700
52,016667	1	0,533350
52,033333	1	0,538400
52,050000	1	0,535750
52,066667	1	0,533150
52,083333	1	0,532950
52,100000	1	0,522100
52,116667	1	0,532300
52,133333	1	0,533900
52,150000	1	0,545600
52,166667	1	0,538100
52,183333	1	0,532150
52,200000	1	0,541950
